City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Graaff-Reinet,ZA,-32.2522,24.5308,68.92,90,100,1.88,light rain
80,Tshikapa,CD,-6.4167,20.8,70.14,96,100,1.43,light rain
81,Dalbandin,PK,28.8947,64.4101,50.16,46,0,6.22,clear sky
82,Albany,US,42.6001,-73.9662,16.52,71,7,1.97,clear sky
83,Butaritari,KI,3.0707,172.7902,81.97,78,100,12.64,overcast clouds
84,Komsomolskiy,UZ,40.4272,71.7189,27.82,86,52,6.91,mist
85,Vaini,TO,-21.2,-175.2,80.83,72,62,13.91,broken clouds
86,Jamestown,US,42.097,-79.2353,22.64,63,0,5.75,clear sky
87,Cabo San Lucas,MX,22.8909,-109.9124,69.51,58,0,0.0,clear sky
88,Rawson,AR,-43.3002,-65.1023,70.2,28,2,20.09,clear sky
89,Flinders,AU,-34.5833,150.8552,94.21,66,27,5.01,scattered clouds
90,Tarakan,ID,3.3,117.6333,83.7,70,40,4.61,scattered clouds
91,Santiago Del Estero,AR,-27.7951,-64.2615,77.76,41,100,4.47,overcast clouds
92,Corinto,GR,37.9407,22.9573,56.44,80,100,5.66,overcast clouds
93,Celestun,MX,20.8667,-90.4,72.32,68,23,13.29,few clouds
94,Chokurdakh,RU,70.6333,147.9167,-12.77,95,100,1.57,overcast clouds
95,Korla,CN,41.7597,86.1469,25.63,47,9,1.52,clear sky
96,Coruripe,BR,-10.1256,-36.1756,77.76,81,5,7.14,clear sky
97,Qui Nhon,VN,13.7667,109.2333,75.11,87,94,11.01,overcast clouds
98,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.78,69,75,15.66,light snow
99,Sao Filipe,CV,14.8961,-24.4956,73.58,72,100,16.87,overcast clouds
100,Wangqing,CN,43.3218,129.7634,14.9,69,6,3.53,clear sky
101,Pavlikeni,BG,43.2428,25.3219,38.37,58,100,1.92,overcast clouds
102,Torbay,CA,47.6666,-52.7314,31.75,75,48,1.99,scattered clouds
103,Olinda,BR,-8.0089,-34.8553,80.33,83,40,2.3,scattered clouds
104,Roura,GF,4.7263,-52.3274,79.97,88,40,3.44,scattered clouds
105,Caluquembe,AO,-13.7833,14.6833,57.78,76,100,2.01,overcast clouds
106,Chapais,CA,49.7834,-74.8492,-18.53,99,41,4.36,scattered clouds
107,Shimoda,JP,34.6667,138.95,50.11,50,0,21.9,clear sky
108,Hambantota,LK,6.1241,81.1185,77.34,94,20,4.61,few clouds
109,Acapulco,MX,16.8634,-99.8901,80.42,69,20,8.05,few clouds
110,Coahuayana,MX,18.7333,-103.6833,78.28,88,0,2.19,clear sky
111,Bentiu,SS,9.2333,29.8333,68.5,20,100,6.04,overcast clouds
112,Ust-Maya,RU,60.4167,134.5333,-12.33,88,100,4.07,overcast clouds
113,Kununurra,AU,-15.7667,128.7333,89.58,62,40,17.27,scattered clouds
114,Coquimbo,CL,-29.9533,-71.3436,64.13,77,100,6.91,overcast clouds
115,Nelson Bay,AU,-32.7167,152.15,93.76,63,0,11.27,clear sky
116,North Bend,US,43.4065,-124.2243,42.94,99,75,4.61,broken clouds
117,Dikson,RU,73.5069,80.5464,-0.15,89,100,20.15,overcast clouds
118,Monrovia,LR,6.3005,-10.7969,74.97,89,72,5.3,broken clouds
119,Shelburne,CA,44.0787,-80.2041,18.59,78,40,6.98,scattered clouds
120,Gobabis,NA,-22.45,18.9667,67.84,82,100,9.42,light rain
121,Hofn,IS,64.2539,-15.2082,33.24,73,35,11.1,scattered clouds
122,Namibe,AO,-15.1961,12.1522,70.32,75,99,8.28,overcast clouds
123,Atuona,PF,-9.8,-139.0333,78.71,75,13,19.98,few clouds
124,Salalah,OM,17.0151,54.0924,66.29,55,20,2.3,few clouds
125,Iqaluit,CA,63.7506,-68.5145,-31.31,73,99,5.01,overcast clouds
126,Jumla,NP,29.2747,82.1838,37.04,46,3,3.15,clear sky
127,Takoradi,GH,4.8845,-1.7554,77.0,86,100,1.63,overcast clouds
128,Neftcala,AZ,39.3742,49.2472,43.36,53,100,7.14,overcast clouds
129,Minot,US,48.2325,-101.2963,25.79,68,20,35.68,few clouds
130,Brae,GB,60.3964,-1.353,48.11,80,100,31.97,overcast clouds
131,Katherine,AU,-14.4667,132.2667,80.92,83,40,13.8,scattered clouds
132,Emba,KZ,48.8264,58.1442,18.64,90,100,7.96,overcast clouds
133,Alice Springs,AU,-23.7,133.8833,83.75,70,75,9.22,broken clouds
134,Skegness,GB,53.1436,0.3363,45.21,91,100,18.99,overcast clouds
135,Majene,ID,-3.5403,118.9707,86.45,59,91,2.3,overcast clouds
136,Dudinka,RU,69.4058,86.1778,6.62,93,99,13.06,overcast clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,73.54,95,93,1.01,overcast clouds
138,Pacific Grove,US,36.6177,-121.9166,54.43,89,40,1.01,scattered clouds
139,Isangel,VU,-19.55,169.2667,80.98,80,96,7.16,overcast clouds
140,Faya,SA,18.3851,42.4509,50.52,81,10,4.41,clear sky
141,Iwaki,JP,37.05,140.8833,44.02,41,3,8.01,clear sky
142,Ruidoso,US,33.3317,-105.673,46.06,17,0,6.91,clear sky
143,Gambela,ET,8.25,34.5833,74.91,37,8,1.34,clear sky
144,Broome,US,42.2506,-75.833,15.8,75,9,3.0,clear sky
145,Bandarbeyla,SO,9.4942,50.8122,75.38,80,69,12.19,light rain
146,Constitucion,CL,-35.3333,-72.4167,57.52,74,0,7.09,clear sky
147,Vardo,NO,70.3705,31.1107,22.12,82,29,8.59,scattered clouds
148,Diamantina,BR,-18.2494,-43.6003,63.05,92,100,0.83,overcast clouds
149,Mataura,NZ,-46.1927,168.8643,66.47,41,100,0.98,overcast clouds
150,Mpophomeni,ZA,-29.5682,30.1862,65.3,95,85,3.76,overcast clouds
151,Gotsu,JP,35.0,132.2167,44.94,58,99,22.97,overcast clouds
152,Kushiro,JP,42.975,144.3747,27.81,63,5,13.56,clear sky
