City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Kondagaon,IN,29/01/2022 02:55,19.6,81.6667,60.82,34,7,3.29
71,Palana,RU,29/01/2022 02:55,59.1167,159.9667,30.88,67,100,17.52
72,Punta Arenas,CL,29/01/2022 02:55,-53.15,-70.9167,60.91,31,0,3.44
73,Hobart,AU,29/01/2022 02:55,-42.8794,147.3294,70.27,71,75,1.01
74,Tuatapere,NZ,29/01/2022 02:55,-46.1333,167.6833,68.83,43,100,4.27
75,Matinha,BR,29/01/2022 02:55,-3.1006,-45.0336,72,99,100,2.35
76,Gafargaon,BD,29/01/2022 02:55,24.4333,90.5667,55.38,44,0,4.47
77,Pevek,RU,29/01/2022 02:55,69.7008,170.3133,-10.75,98,100,1.77
78,Tuktoyaktuk,CA,29/01/2022 02:53,69.4541,-133.0374,-16.6,69,75,18.41
79,Bowen,AU,29/01/2022 02:55,-20.0167,148.2333,84.42,62,17,18.97
80,Touros,BR,29/01/2022 02:55,-5.1989,-35.4608,74.3,79,100,8.34
81,Lingao,CN,29/01/2022 02:55,19.9103,109.6859,72.27,78,96,13.02
82,Kirakira,SB,29/01/2022 02:56,-10.4544,161.9205,83.91,75,99,10.16
83,Bambous Virieux,MU,29/01/2022 02:56,-20.3428,57.7575,79.21,94,40,1.14
84,Canutama,BR,29/01/2022 02:56,-6.5339,-64.3831,72.7,99,100,2.39
85,Ippy,CF,29/01/2022 02:56,6.2679,21.2247,70.02,24,82,5.79
86,Ulaanbaatar,MN,29/01/2022 02:56,47.9077,106.8832,-11.07,70,75,2.24
87,Mankono,CI,29/01/2022 02:56,8.0586,-6.1897,73.92,36,22,3
88,Maceio,BR,29/01/2022 02:54,-9.6658,-35.7353,80.04,89,20,2.3
89,Cherskiy,RU,29/01/2022 02:56,68.75,161.3,-10.23,94,100,5.06
90,Goderich,CA,29/01/2022 02:57,43.7501,-81.7165,3.52,72,86,8.05
91,Mercedes,AR,29/01/2022 02:57,-34.6515,-59.4307,66.18,66,0,7.36
92,Clyde River,CA,29/01/2022 02:57,70.4692,-68.5914,-9.17,84,100,34.52
93,Atuona,PF,29/01/2022 02:57,-9.8,-139.0333,77.67,78,5,13.22
94,Vaini,TO,29/01/2022 02:57,-21.2,-175.2,82.78,78,100,17.07
95,Kapaa,US,29/01/2022 02:56,22.0752,-159.319,77.11,59,34,1.99
96,Zalantun,CN,29/01/2022 02:57,48,122.7167,9.09,64,0,8.21
97,Vila Franca Do Campo,PT,29/01/2022 02:57,37.7167,-25.4333,57.61,86,32,8.9
98,Singkang,MY,29/01/2022 02:57,2.1006,102.7994,84.09,57,70,3.69
99,Berlevag,NO,29/01/2022 02:57,70.8578,29.0864,29.71,60,100,12.26
100,Shizunai,JP,29/01/2022 02:57,42.3339,142.3669,27.68,62,90,18.63
101,Mayaky,UA,29/01/2022 02:57,47.4408,29.5599,30.92,90,99,18.1
102,Necochea,AR,29/01/2022 02:57,-38.5473,-58.7368,69.04,67,0,10.78
103,Ilulissat,GL,29/01/2022 02:57,69.2167,-51.1,22.17,59,100,23.64
104,Mamlyutka,KZ,29/01/2022 02:57,54.9375,68.5394,-0.38,93,100,6.62
105,Eucaliptus,BO,29/01/2022 02:57,-17.5833,-67.5167,49.35,79,100,2.8
106,Yar-Sale,RU,29/01/2022 02:57,66.8333,70.8333,-7.46,98,99,8.1
107,Luderitz,,29/01/2022 02:57,-26.6481,15.1594,67.14,73,0,22.46
108,Nhulunbuy,AU,29/01/2022 02:55,-12.2333,136.7667,79.41,83,75,18.41
109,Castro,BR,29/01/2022 02:57,-24.7911,-50.0119,58.95,99,100,9.31
110,Severo-Kurilsk,RU,29/01/2022 02:57,50.6789,156.125,23.36,73,100,26.98
111,Wanning,CN,29/01/2022 02:57,18.8003,110.3967,74.3,83,92,10.22
112,Vilyuysk,RU,29/01/2022 02:57,63.7553,121.6247,-9.54,97,99,7.47
113,Sitka,US,29/01/2022 02:53,57.0531,-135.33,42.69,81,100,17.27
114,Arraial Do Cabo,BR,29/01/2022 02:55,-22.9661,-42.0278,73.36,100,40,0
115,Owando,CG,29/01/2022 02:57,-0.4819,15.8999,70.47,47,32,1.97
116,Chernyshevskiy,RU,29/01/2022 02:57,63.0128,112.4714,-16.69,97,35,2.82
117,Vaitape,PF,29/01/2022 02:57,-16.5167,-151.75,80.92,75,17,13.56
118,Provideniya,RU,29/01/2022 02:57,64.3833,-173.3,-0.27,97,16,3.18
119,Geraldton,AU,29/01/2022 02:57,-28.7667,114.6,104.13,24,0,12.66
120,Vila Velha,BR,29/01/2022 02:57,-20.3297,-40.2925,78.75,82,20,6.91
121,Abnub,EG,29/01/2022 02:57,27.2696,31.1511,41.22,61,0,4.68
122,Caravelas,BR,29/01/2022 02:57,-17.7125,-39.2481,76.24,91,29,5.93
123,Longyearbyen,SJ,29/01/2022 02:57,78.2186,15.6401,8.44,78,0,16.11
124,Airai,TL,29/01/2022 02:57,-8.9266,125.4092,71.76,60,100,5.66
125,Port Blair,IN,29/01/2022 02:57,11.6667,92.75,82.44,78,75,11.5
126,Sola,VU,29/01/2022 02:57,-13.8833,167.55,80.42,83,100,20.09
127,Barrow,US,29/01/2022 02:57,71.2906,-156.7887,-18.02,99,96,11.95
128,Bethel,US,29/01/2022 02:57,41.3712,-73.414,30.29,87,100,5.75
129,Kaitangata,NZ,29/01/2022 02:57,-46.2817,169.8464,63.93,72,99,4.29
130,Port Elizabeth,ZA,29/01/2022 02:57,-33.918,25.5701,66.09,94,0,5.75
131,Saint-Gaudens,FR,29/01/2022 02:57,43.0833,0.6667,40.14,59,87,3.6
132,Chuy,UY,29/01/2022 02:57,-33.6971,-53.4616,64.17,78,0,5.77
133,Hami,CN,29/01/2022 02:57,42.8,93.45,22.75,48,1,4.68
134,Corowa,AU,29/01/2022 02:58,-36.0333,146.3833,83.57,66,99,6.78
135,Maragogi,BR,29/01/2022 02:58,-9.0122,-35.2225,77.56,82,100,9.1
136,Vanavara,RU,29/01/2022 02:58,60.34,102.2797,-7.87,98,100,3.49
137,Nome,US,29/01/2022 02:58,64.5011,-165.4064,-6.7,77,0,7.47
138,San Cristobal,VE,29/01/2022 02:58,7.7669,-72.225,73.58,83,5,3.38
139,Ponta Do Sol,PT,29/01/2022 02:58,32.6667,-17.1,61.72,61,66,4.43
140,Erdemli,TR,29/01/2022 02:58,36.605,34.3084,40.64,56,1,8.46
141,Tessalit,ML,29/01/2022 02:58,20.1986,1.0114,60.98,17,13,11.27
142,Mount Gambier,AU,29/01/2022 02:58,-37.8333,140.7667,71.51,64,100,18.41
143,Canas,CR,29/01/2022 02:58,10.4294,-85.0931,76.86,80,29,7.11
144,Norman Wells,CA,29/01/2022 02:58,65.282,-126.8329,-7.56,71,100,10.36
145,Los Llanos De Aridane,ES,29/01/2022 02:58,28.6585,-17.9182,55.15,67,0,10.36
146,Waipawa,NZ,29/01/2022 02:58,-41.4122,175.5153,70.43,40,1,4.5
147,Dourbali,TD,29/01/2022 02:58,11.8091,15.8632,60.62,15,4,12.12
148,Sydney,AU,29/01/2022 02:57,-33.8679,151.2073,91.89,65,75,4
149,Constitucion,CL,29/01/2022 02:58,-35.3333,-72.4167,56.59,92,6,3.8
150,Salalah,OM,29/01/2022 02:58,17.0151,54.0924,68.04,53,21,3.96
151,Hasaki,JP,29/01/2022 02:58,35.7333,140.8333,45.28,67,100,6.2
152,Rongcheng,CN,29/01/2022 02:58,30.634,117.8517,35.91,98,100,5.01
153,Port Macquarie,AU,29/01/2022 02:55,-31.4333,152.9167,84.16,66,49,11.77
154,Hambantota,LK,29/01/2022 02:58,6.1241,81.1185,77.34,100,40,2.3
155,Nautla,MX,29/01/2022 02:58,20.2167,-96.7833,60.44,94,100,23
156,Isoka,ZM,29/01/2022 02:58,-10.1606,32.6335,62.28,95,100,2.66
157,Samarai,PG,29/01/2022 02:58,-10.6167,150.6667,85.53,64,100,4.25
158,Alice Town,BS,29/01/2022 02:58,25.7167,-79.3,73.92,63,100,22.39
159,Bayanday,RU,29/01/2022 02:58,53.0661,105.5139,-8.14,98,80,3.04
160,Moose Factory,CA,29/01/2022 02:58,51.2585,-80.6094,-5.8,71,100,6.91
161,Camacha,PT,29/01/2022 02:58,33.0833,-16.3333,57.96,82,40,13.8
162,Emerald,AU,29/01/2022 02:58,-23.5333,148.1667,91.54,38,40,10.36
163,Petropavlovsk-Kamchatskiy,RU,29/01/2022 02:58,53.0452,158.6483,25.39,93,100,4.47
164,Guerrero Negro,MX,29/01/2022 02:58,27.9769,-114.0611,65.97,40,6,1.92
165,North Bend,US,29/01/2022 02:58,43.4065,-124.2243,48.85,95,55,4.25
166,Dhidhdhoo,MV,29/01/2022 02:58,6.8833,73.1,81.81,72,51,19.53
167,Qaanaaq,GL,29/01/2022 02:58,77.484,-69.3632,-12.8,62,84,7.78
168,Raudeberg,NO,29/01/2022 02:58,61.9875,5.1352,44.87,96,100,10
169,Mayor Pablo Lagerenza,PY,29/01/2022 02:58,-19.9309,-60.7718,73.96,79,30,2.08
170,Victoria,HK,29/01/2022 02:55,22.2855,114.1577,68.97,86,99,5.99
171,Souillac,MU,29/01/2022 02:57,-20.5167,57.5167,79.36,94,40,1.14
172,Izumo,JP,29/01/2022 02:58,35.3667,132.7667,48.09,46,75,14.97
173,Venado Tuerto,AR,29/01/2022 02:58,-33.7456,-61.9688,63.79,46,0,8.25
174,Smithers,CA,29/01/2022 02:58,54.7804,-127.1743,28.72,80,100,0
175,Antoing,BE,29/01/2022 02:58,50.556,3.4653,47.84,98,69,11.86
176,Awbari,LY,29/01/2022 02:58,26.5921,12.7805,41.9,52,5,3.6
177,Upernavik,GL,29/01/2022 02:58,72.7868,-56.1549,7.47,71,100,2.51
178,Gedo,ET,29/01/2022 02:58,9.0167,37.45,48.94,51,1,3.31
179,Charters Towers,AU,29/01/2022 02:57,-20.1,146.2667,83.5,62,95,14.9
