City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Monrovia,LR,74.97,broken clouds,6.3005,-10.7969,Sunset Inn
122,Namibe,AO,70.32,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
123,Atuona,PF,78.71,few clouds,-9.8,-139.0333,Villa Enata
124,Salalah,OM,66.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
127,Takoradi,GH,77.0,overcast clouds,4.8845,-1.7554,Raybow International Hotel
131,Katherine,AU,80.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
133,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
135,Majene,ID,86.45,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
137,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
138,Pacific Grove,US,54.43,scattered clouds,36.6177,-121.9166,Lovers Point Inn
139,Isangel,VU,80.98,overcast clouds,-19.55,169.2667,Tanna Lodge
140,Faya,SA,50.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
143,Gambela,ET,74.91,clear sky,8.25,34.5833,Solomon Debebe Hotel
145,Bandarbeyla,SO,75.38,light rain,9.4942,50.8122,JABIR HOTEL
146,Constitucion,CL,57.52,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
148,Diamantina,BR,63.05,overcast clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
149,Mataura,NZ,66.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
150,Mpophomeni,ZA,65.3,overcast clouds,-29.5682,30.1862,Yellowhouse Lodge
153,Puntarenas,CR,80.53,broken clouds,9.9763,-84.8384,Michael's Surfside Hotel
154,Pandan,PH,78.71,moderate rain,14.0453,124.1694,Bonifacio Lodge
155,Ponta Do Sol,PT,65.03,clear sky,32.6667,-17.1,Hotel do Campo
161,Barahona,DO,74.26,broken clouds,18.2085,-71.1008,Hotel Caribe
162,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
166,Sao Joao Da Barra,BR,76.28,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
167,Benguela,AO,74.32,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
171,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
173,Bredasdorp,ZA,72.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
174,Tonj,SS,70.41,scattered clouds,7.2737,28.6822,Lakan Hotel
175,East London,ZA,77.04,overcast clouds,-33.0153,27.9116,Tu Casa
177,Francisco Sa,BR,70.84,light rain,-16.4758,-43.4883,Amaralina Hotel
179,Naze,JP,56.53,broken clouds,28.3667,129.4833,Shishime Hotel
180,Conceicao Do Araguaia,BR,72.97,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
183,San Ramon De La Nueva Oran,AR,78.42,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
187,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
189,Saldanha,ZA,65.95,clear sky,-33.0117,17.9442,Blue Bay Lodge
192,Conakry,GN,74.35,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
195,Amahai,ID,88.41,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
197,Port-Gentil,GA,80.49,light rain,-0.7193,8.7815,Fengshui Residence
198,Seddon,AU,77.88,broken clouds,-37.8068,144.8916,Footscray Motor Inn
200,Marsala,IT,51.01,broken clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
201,Sciacca,IT,51.1,broken clouds,37.5082,13.0881,Hotel Aliai
202,Necochea,AR,55.04,few clouds,-38.5473,-58.7368,dyd -mar Hotel
210,Port Lincoln,AU,65.71,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
212,Lompoc,US,60.42,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
213,Waipawa,NZ,74.03,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
215,Popondetta,PG,89.69,overcast clouds,-8.7537,148.2534,Timos Transit House
217,Christchurch,NZ,69.94,scattered clouds,-43.5333,172.6333,The George
222,Mar Del Plata,AR,63.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
223,Banjar,ID,87.66,scattered clouds,-8.19,114.9675,The Hamsa Resort
224,Azul,AR,56.41,broken clouds,-36.777,-59.8585,Cabañas Dulcinea
226,Ormara,PK,71.64,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
227,Bosaso,SO,74.28,scattered clouds,11.2842,49.1816,Red Sea Hotel
228,Porto Murtinho,BR,84.06,scattered clouds,-21.6989,-57.8825,Hotel Pantanal
229,Amalapuram,IN,71.98,few clouds,16.5833,82.0167,swayamprabha service apartments
232,Namatanai,PG,84.0,light rain,-3.6667,152.4333,Seagulls Inn Namatani
233,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
234,Los Llanos De Aridane,ES,56.95,clear sky,28.6585,-17.9182,Valle Aridane
239,Lorengau,PG,77.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
240,Makakilo City,US,74.28,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
241,Bac Lieu,VN,83.97,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
242,Mwense,ZM,62.4,overcast clouds,-10.3845,28.698,Mwense Council Guest House
243,Faanui,PF,81.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Mahibadhoo,MV,82.8,few clouds,3.7833,72.9667,Omadhoo Inn
246,Dunedin,NZ,65.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
248,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
249,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
250,Menongue,AO,62.11,overcast clouds,-14.6585,17.691,Ritz Lauca
253,Tubuala,PA,76.55,few clouds,9.5167,-79.0333,Río Nabagana
256,Cacoal,BR,70.29,overcast clouds,-11.4386,-61.4472,Hotel BR 364
257,Pontes E Lacerda,BR,70.0,overcast clouds,-15.2261,-59.3353,Hotel Bressan
258,Samarai,PG,87.1,light rain,-10.6167,150.6667,Nuli Sapi
260,Angoche,MZ,74.88,clear sky,-16.2325,39.9086,Guest House HESADA
261,Santa Rosalia,MX,60.48,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
262,Kabala,SL,68.85,overcast clouds,9.5833,-11.55,Kabala Hill View
263,Matamoros,MX,64.51,clear sky,25.5333,-103.25,Quinta Belem
267,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
268,Dong Hoi,VN,63.86,overcast clouds,17.4833,106.6,Nam Long Hotel
271,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
272,Mount Gambier,AU,66.11,overcast clouds,-37.8333,140.7667,The Commodore
275,Mocuba,MZ,68.9,clear sky,-16.8392,36.9856,Phama Lodge
277,Valparaiso,CL,66.47,clear sky,-33.0393,-71.6273,Hotel Ultramar
278,Porto Velho,BR,75.25,moderate rain,-8.7619,-63.9039,Ecos Hotel Conforto
281,Pisco,PE,71.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
287,Aguadilla,PR,75.65,scattered clouds,18.4275,-67.1541,WSSM Surf House
288,Vanimo,PG,81.54,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
289,Bengkulu,ID,83.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
292,Iguape,BR,72.41,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
296,Yulara,AU,71.44,moderate rain,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
299,Trairi,BR,77.76,broken clouds,-3.2778,-39.2689,janelas do mar
302,Chemax,MX,63.9,few clouds,20.65,-87.9333,"Hotel ""Don Roger"""
303,Balabac,PH,83.41,broken clouds,7.9868,117.0645,Sing and Swing Lodge
304,San Patricio,US,62.82,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
306,Impfondo,CG,68.25,broken clouds,1.6381,18.0667,Auberge La Place de Jules
307,Florianopolis,BR,74.37,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
308,Garowe,SO,66.81,scattered clouds,8.4054,48.4845,Curubo Hotel
312,Mareeba,AU,86.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
313,Alofi,NU,79.25,overcast clouds,-19.0595,-169.9187,Taloa Heights
314,Pathein,MM,77.04,broken clouds,16.7833,94.7333,Pathein Hotel
316,Itaituba,BR,72.36,broken clouds,-4.2761,-55.9836,Hotel Campos
317,Geraldton,AU,88.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
318,Bonthe,SL,75.6,broken clouds,7.5264,-12.505,Bonthe Holiday Village
320,Dingle,PH,83.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
321,Praia Da Vitoria,PT,59.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
322,Comodoro Rivadavia,AR,67.86,scattered clouds,-45.8667,-67.5,Austral Hotel
323,Meulaboh,ID,82.29,clear sky,4.1363,96.1285,Kost Pria
325,Santo Domingo,DO,74.03,scattered clouds,18.5001,-69.9886,Cabañas City Heart
328,Zuenoula,CI,67.35,few clouds,7.4292,-6.0431,Hotel Prestige Zla
331,Vao,NC,78.17,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
336,Carnarvon,AU,87.87,few clouds,-24.8667,113.6333,Hospitality Carnarvon
338,Kaseda,JP,54.63,broken clouds,31.4167,130.3167,Sun Stay Kaseda
344,Ixtapa,MX,72.63,clear sky,20.7,-105.2,hotel la terminal
346,San Juan,AR,81.36,broken clouds,-31.5375,-68.5364,Hotel Provincial
348,San Carlos Del Zulia,VE,73.54,clear sky,9.0,-71.9135,Hotel El Manantial
350,Itupiranga,BR,70.99,overcast clouds,-5.1347,-49.3267,Hotel Panorama
352,Antofagasta,CL,65.48,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
353,Tignere,CM,58.5,broken clouds,7.3667,12.65,SADECK
355,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
357,Panna,IN,61.41,clear sky,24.7167,80.2,The Jewel of The Jungle
358,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
359,Inirida,CO,76.08,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
361,Gonzales,US,59.05,overcast clouds,30.2385,-90.9201,Hampton Inn Gonzales
363,Torrevieja,ES,58.08,clear sky,37.9787,-0.6822,Hotel Fontana Plaza
367,Tuatapere,NZ,76.51,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
368,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
